name,href,location,active_years,description
Khumar Barabankavi,https://www.rekhta.org/poets/khumar-barabankavi,Barabanki,1919 -1999,Popular poet who also penned film lyrics.
Majrooh Sultanpuri,https://www.rekhta.org/poets/majrooh-sultanpuri,Mumbai,1919 -2000,One of the most lyrical of ghazal poets associated with progressive movement. Outstanding film lyricist. Recipient of Dada Sahab Phalke award.
Meer Taqi Meer,https://www.rekhta.org/poets/meer-taqi-meer,Delhi,1723 -1810,One of the greatest Urdu poets. Known as Khuda-e-Sukhan (God of Poetry)
Mirza Ghalib,https://www.rekhta.org/poets/mirza-ghalib,Delhi,1797 -1869,Legendary Urdu poet occupying a place of pride in worldwide literature. One of the most quotable poets having couplets for almost all situations of life
Mohammad Rafi Sauda,https://www.rekhta.org/poets/mohammad-rafi-sauda,Delhi,1713 -1781,One of the greatest 18th century poets. Contemporary of Mir Taqi Mir
Momin Khan Momin,https://www.rekhta.org/poets/momin-khan-momin,Delhi,1800 -1852,"Contemporary of Ghalib and Zauq. Also a physician, astrologer and chess player. Mirza Ghalib is said to have offered his complete Divan for his sher ""Tum mere paas hote ho goya, Jab koi doosra nahin hota"""
Munawwar Rana,https://www.rekhta.org/poets/munawwar-rana,Lucknow,1952 -2024,Popular poet having dominating presence in mushairas.
Muneer Niyazi,https://www.rekhta.org/poets/muneer-niyazi,Lahore,1928 -2006,One of the most outstanding modern poets who wrote both in Urdu and Punjabi. Also a film lyricist.
Nasir Kazmi,https://www.rekhta.org/poets/nasir-kazmi,Lahore,1925 -1972,"One of the founders of modern ghazal. Born at Ambala in India, he migrated to Pakistan and wrote extensively on the pain and sufferings of partition."
Nida Fazli,https://www.rekhta.org/poets/nida-fazli,Mumbai,1938 -2016,"One of the most prominent modern poets with wide popular appeal. Well-known film lyricist, prose writer. Famous for his ghazal 'Kabhi kisi ko mukammal Jahan nahin milta…'."
Noon Meem Rashid,https://www.rekhta.org/poets/noon-meem-rashid,United Kingdom,1910 -1975,One of the founding-fathers of modern Urdu poetry.
Parveen Shakir,https://www.rekhta.org/poets/parveen-shakir,Karachi,1952 -1994,One of the most popular woman poets who gave expression to feelings and experiences specific to women.
Pirzada Qasim,https://www.rekhta.org/poets/pirzada-qasim,Karachi,1943,Pakistani poet known for the ghazals laced with social and political satire
Qateel Shifai,https://www.rekhta.org/poets/qateel-shifai,Lahore,1919 -2001,One of the most popular poets ever and film lyricist. Famous for his ghazal 'Garmi-e-hasrat-e-nakaam se jal jate hain'.
Rahat Indori,https://www.rekhta.org/poets/rahat-indori,Indore,1950 -2020,Popular poet and film lyricist.
Sahir Ludhianvi,https://www.rekhta.org/poets/sahir-ludhianvi,Mumbai,1921 -1980,Leading progressive Indian poet and celebrated film-lyricist. Popular for his writings against social injustice and backwardness in society
Saleem Kausar,https://www.rekhta.org/poets/saleem-kausar,Karachi,1947,"Well-known poet from Pakistan famous for his ghazal ""main khayaal hoon kisi aur ka…"""
Shad Azimabadi,https://www.rekhta.org/poets/shad-azimabadi,Patna,1846 -1927,One of the most prominent pre-modern poets.
Shahryar,https://www.rekhta.org/poets/shahryar,Aligarh,1936 -2012,"One of the most prominent modern Urdu poets and lyricist. Wrote songs for the movie ""Umrao Jaan"". Recipient of the Bhartiya Gyan Peeth award."
Shakeel Badayuni,https://www.rekhta.org/poets/shakeel-badayuni-3,Mumbai,1916 -1970,Famous poet and film lyricist
Tahzeeb Hafi,https://www.rekhta.org/poets/tahzeeb-hafi,Taunsa Sharif,1988,Immensely popular contemporary Pakistani poet.
Waseem Barelvi,https://www.rekhta.org/poets/waseem-barelvi,Bareilly,1940,Popular poet having vast mass following.
Zafar Iqbal,https://www.rekhta.org/poets/zafar-iqbal,Lahore,1933,One of the most prominent and trend-setter poet of new Urdu ghazal having a vast following.
